  Token         |      Lexeme
''''''''''''''''''''''''''''''
Identifier      |   function
Identifier      |       main
Separator       |          (
Separator       |          )
Separator       |          {
Keyword         |        int
Identifier      |          x
Separator       |          ;
Identifier      |          x
Operator        |          =
Integer         |          5
Separator       |          ;
Keyword         |         if
Separator       |          (
Identifier      |          x
Operator        |          >
Integer         |          0
Separator       |          )
Separator       |          {
Identifier      |          x
Operator        |          =
Identifier      |          x
Operator        |          -
Integer         |          1
Separator       |          ;
Separator       |          }
Separator       |          }
