  Token         |      Lexeme
''''''''''''''''''''''''''''''
Identifier      |   function
Identifier      |       main
Seperator       |          (
Seperator       |          )
Seperator       |          {
Keyword         |        int
Identifier      |          i
Seperator       |          ;
Keyword         |        int
Identifier      |        sum
Seperator       |          ;
Identifier      |       real
Identifier      |        avg
Seperator       |          ;
Identifier      |          i
Operator        |          =
Integer         |          0
Seperator       |          ;
Identifier      |        sum
Operator        |          =
Integer         |          0
Seperator       |          ;
Keyword         |      while
Seperator       |          (
Identifier      |          i
Operator        |          <
Integer         |         10
Seperator       |          )
Seperator       |          {
Identifier      |        sum
Operator        |          =
Identifier      |        sum
Operator        |          +
Identifier      |          i
Seperator       |          ;
Identifier      |          i
Operator        |          =
Identifier      |          i
Operator        |          +
Integer         |          1
Seperator       |          ;
Seperator       |          }
Identifier      |        avg
Operator        |          =
Identifier      |        sum
Operator        |          /
Integer         |         10
Seperator       |          .
Integer         |          0
Seperator       |          ;
Keyword         |         if
Seperator       |          (
Identifier      |        avg
Operator        |          >
Integer         |          5
Seperator       |          .
Integer         |          0
Seperator       |          )
Seperator       |          {
Identifier      |      print
Seperator       |          (
Identifier      |        avg
Seperator       |          )
Seperator       |          ;
Seperator       |          }
Keyword         |       else
Seperator       |          {
Identifier      |      print
Seperator       |          (
Identifier      |        sum
Seperator       |          )
Seperator       |          ;
Seperator       |          }
Keyword         |        int
Identifier      |          j
Seperator       |          ;
Identifier      |          j
Operator        |          =
Integer         |          0
Seperator       |          ;
Keyword         |      while
Seperator       |          (
Identifier      |          j
Operator        |          <
Integer         |          5
Seperator       |          )
Seperator       |          {
Identifier      |        sum
Operator        |          =
Identifier      |        sum
Operator        |          -
Identifier      |          j
Seperator       |          ;
Identifier      |          j
Operator        |          =
Identifier      |          j
Operator        |          +
Integer         |          1
Seperator       |          ;
Seperator       |          }
Identifier      |     return
Seperator       |          ;
Seperator       |          }
